#              ************************************
#              *****    GLOBAL ATTRIBUTES    ******
#              ************************************
#
#     PROJECT                         LWS>Living With a Star
#     SOURCE_NAME                     PSP>Parker Solar Probe
#     DISCIPLINE                      Solar Physics>Heliospheric Physics
#                                     Space Physics>Interplanetary Studies
#     DATA_TYPE                       L3i>Solar Wind Ion velocity moments and fits
#     DESCRIPTOR                      SWP_SPC>Solar Wind Electrons Alphas and Protons / Solar Probe Cup
#     FILE_NAMING_CONVENTION          source_descriptor_datatype_yyyyMMdd
#     DATA_VERSION                    01
#     PI_NAME                         Justin C. Kasper
#     PI_AFFILIATION                  University of Michigan
#     TEXT                            This file includes the densities, vector velocities, and scalar (radial component)                     
#     TEXT                             temperatures of the solar wind protons measured by the Solar Probe Cup (SPC).                         
#     TEXT                             These are determined both by a direct computation of the velocity moments of                          
#     TEXT                             the reduced distribution function and by attempting to fit the primary peak                           
#                                      in the ion I(V) curve with a Maxwellian model.                                                        
#                                     When such fitting is successful, the data set also includes Maxwellian model                           
#                                      fits to the alpha-particle (He++) and tertiary (usually proton beam or shoulder)                      
#                                      populations.                                                                                          
#     INSTRUMENT_TYPE                 Plasma and Solar Wind
#     MISSION_GROUP                   Parker Solar Probe (PSP)
#     LOGICAL_SOURCE                  psp_swp_spc_l3i
#     LOGICAL_FILE_ID                 psp_swp_spc_l3i_00000000_v01
#     LOGICAL_SOURCE_DESCRIPTION      Parker Solar Probe/SWEAP/SPC level 3 ion data
#     TIME_RESOLUTION                 variable
#     RULES_OF_USE                    NASA open data policy applies. Consultation with the instrument team is strongly                       
#                                      recommended.                                                                                          
#     GENERATED_BY                    Michael L. Stevens (mstevens@cfa.harvard.edu)
#     GENERATION_DATE                 Thu Jan 20 14:38:22 2022
#     ACKNOWLEDGEMENT                 This project acknowledges the Parker Solar Probe SWEAP instrument team and the                         
#                                      SWEAP science data center for providing these solar wind plasma measurements.                         
#     MODS                            2018-12-04: CDF skeleton created (MLS)
#                                     2019-01-20: expanded data quality flags, variable notes
#                                     2019-01-28: modified to include RTN reference frame
#                                     2019-07-23: minor modifications for spdf compliance
#                                     2019-08-20: minor modifications for spdf compliance
#                                     2019-10-01: corrections to axis label fields, expanded var_notes
#                                     2019-11-04: contracted calibration file variables to global attribute
#                                     2019-10-31: inclusion of standalone general_flag variable
#     LINK_TITLE                      Space Science Reviews
#                                     Data Link
#     LINK_TEXT                       SWEAP instrument paper at
#                                     Smithsonian Astrophysical Observatory SWEAP
#     HTTP_LINK                       https://link.springer.com/article/10.1007/s11214-015-0206-3
#                                     http://sweap.cfa.harvard.edu/Data.html
#                                     spase://NASA/NumericalData/ParkerSolarProbe/SWEAP/SPC/Level3/SolarWindMomentsFits/PT0.2185S            
#     CALIBRATIONS_USED               psp_swp_spc_calfiles_spc_uvphithetalookup_20190819
#                                     psp_swp_spc_calfiles_sensorgainoffsets_20190618_v02
#                                     psp_swp_spc_calfiles_sensorcrosstalk_20190210_v00
#                                     psp_swp_spc_calfiles_raytracesim_20181219_v00
#                                     psp_swp_spc_calfiles_dVthermalcorrection_20181217_v00
#                                     psp_swp_spc_calfiles_mvind2volt_20180801
#                                     psp_swp_spc_calfiles_effectiveAreaTable_v00
#     CDAWEB_PARENTS                  psp_swp_spc_l3i_00000000_v01
#                                     psp_swp_spc_l3i_20181120_v01
#     CDFMAJOR                        COL_MAJOR
#
#              ************************************
#              ****  RECORD VARYING VARIABLES  ****
#              ************************************
#
#  1. CDF TT2000 time [ns]
#       NOTES:  Spacecraft ephemeris time, expressed as the number of nanoseconds since J2000 (2000-01-01T12:00:00.000000000) with leap seconds included.    Please refer to CDF TT2000 documentation with regards to this convention.  This time corresponds to the first measurement of the spectrum. Owing to frequent changes in the operating mode, this is usually NOT regular cadence.
#  2. PSP Spacecraft position in the Heliocentric Inertial system, in km
#       NOTES:  Also called Ecliptic J2000. Z is the solar north rotational axis, and X is the solar ascending node on the J2000 ecliptic.
#
EPOCH                               X_HCI                Y_HCI                Z_HCI
2018 27912330.296241         -6.31116E+07         -1.15538E+07          1.72838E+06
2018 27912358.258320         -6.31123E+07         -1.15550E+07          1.72848E+06
2018 27912386.220380         -6.31131E+07         -1.15561E+07          1.72857E+06
2018 27912414.182439         -6.31138E+07         -1.15573E+07          1.72866E+06
2018 27912442.144519         -6.31146E+07         -1.15585E+07          1.72876E+06
2018 27912470.106579         -6.31153E+07         -1.15597E+07          1.72885E+06
2018 27912498.068638         -6.31161E+07         -1.15609E+07          1.72894E+06
2018 27912526.030698         -6.31168E+07         -1.15621E+07          1.72904E+06
2018 27912553.992757         -6.31176E+07         -1.15632E+07          1.72913E+06
2018 27912581.954837         -6.31183E+07         -1.15644E+07          1.72922E+06
2018 27912609.916897         -6.31191E+07         -1.15656E+07          1.72932E+06
2018 27912637.878956         -6.31198E+07         -1.15668E+07          1.72941E+06
2018 27912665.841036         -6.31206E+07         -1.15680E+07          1.72951E+06
2018 27912693.803075         -6.31213E+07         -1.15692E+07          1.72960E+06
2018 27912721.765155         -6.31221E+07         -1.15703E+07          1.72969E+06
2018 27912749.727215         -6.31229E+07         -1.15715E+07          1.72979E+06
2018 27912777.689274         -6.31236E+07         -1.15727E+07          1.72988E+06
2018 27912805.651354         -6.31244E+07         -1.15739E+07          1.72997E+06
2018 27912833.613414         -6.31251E+07         -1.15751E+07          1.73007E+06
2018 27912861.575453         -6.31259E+07         -1.15763E+07          1.73016E+06
2018 27912889.537533         -6.31266E+07         -1.15774E+07          1.73025E+06
2018 27912917.499592         -6.31274E+07         -1.15786E+07          1.73035E+06
2018 27912945.461672         -6.31281E+07         -1.15798E+07          1.73044E+06
2018 27912973.423732         -6.31289E+07         -1.15810E+07          1.73054E+06
2018 27913001.385791         -6.31296E+07         -1.15822E+07          1.73063E+06
2018 27913029.347851         -6.31304E+07         -1.15834E+07          1.73072E+06
2018 27913057.309910         -6.31311E+07         -1.15845E+07          1.73082E+06
2018 27913085.271970         -6.31319E+07         -1.15857E+07          1.73091E+06
2018 27913113.234050         -6.31326E+07         -1.15869E+07          1.73100E+06
2018 27913141.196109         -6.31334E+07         -1.15881E+07          1.73110E+06
2018 27913169.158169         -6.31341E+07         -1.15893E+07          1.73119E+06
2018 27913197.120248         -6.31349E+07         -1.15905E+07          1.73128E+06
2018 27913225.082288         -6.31357E+07         -1.15916E+07          1.73138E+06
2018 27913253.044368         -6.31364E+07         -1.15928E+07          1.73147E+06
2018 27913281.006427         -6.31372E+07         -1.15940E+07          1.73156E+06
2018 27913308.968487         -6.31379E+07         -1.15952E+07          1.73166E+06
2018 27913336.930567         -6.31387E+07         -1.15964E+07          1.73175E+06
2018 27913364.892626         -6.31394E+07         -1.15976E+07          1.73185E+06
2018 27913392.854686         -6.31402E+07         -1.15987E+07          1.73194E+06
2018 27913420.816745         -6.31409E+07         -1.15999E+07          1.73203E+06
2018 27913448.778805         -6.31417E+07         -1.16011E+07          1.73213E+06
2018 27913476.740865         -6.31424E+07         -1.16023E+07          1.73222E+06
2018 27913504.702944         -6.31432E+07         -1.16035E+07          1.73231E+06
2018 27913532.665004         -6.31439E+07         -1.16047E+07          1.73241E+06
2018 27913560.627064         -6.31447E+07         -1.16058E+07          1.73250E+06
2018 27913588.589123         -6.31454E+07         -1.16070E+07          1.73259E+06
2018 27913616.551183         -6.31462E+07         -1.16082E+07          1.73269E+06
2018 27913644.513262         -6.31469E+07         -1.16094E+07          1.73278E+06
2018 27913672.475322         -6.31477E+07         -1.16106E+07          1.73288E+06
2018 27913700.437382         -6.31484E+07         -1.16118E+07          1.73297E+06
2018 27913728.399461         -6.31492E+07         -1.16129E+07          1.73306E+06
2018 27913756.361521         -6.31499E+07         -1.16141E+07          1.73316E+06
2018 27913784.323580         -6.31507E+07         -1.16153E+07          1.73325E+06
2018 27913812.285640         -6.31514E+07         -1.16165E+07          1.73334E+06
2018 27913840.247700         -6.31522E+07         -1.16177E+07          1.73344E+06
2018 27913868.209779         -6.31530E+07         -1.16189E+07          1.73353E+06
2018 27913896.171839         -6.31537E+07         -1.16200E+07          1.73362E+06
2018 27913924.133899         -6.31545E+07         -1.16212E+07          1.73372E+06
2018 27913952.095958         -6.31552E+07         -1.16224E+07          1.73381E+06
2018 27913980.058018         -6.31560E+07         -1.16236E+07          1.73390E+06
2018 27914008.020097         -6.31567E+07         -1.16248E+07          1.73400E+06
2018 27914035.982157         -6.31575E+07         -1.16260E+07          1.73409E+06
2018 27914063.944216         -6.31582E+07         -1.16271E+07          1.73419E+06
2018 27914091.906296         -6.31590E+07         -1.16283E+07          1.73428E+06
2018 27914119.868356         -6.31597E+07         -1.16295E+07          1.73437E+06
2018 27914147.830395         -6.31605E+07         -1.16307E+07          1.73447E+06
2018 27914175.792475         -6.31612E+07         -1.16319E+07          1.73456E+06
2018 27914203.754535         -6.31620E+07         -1.16331E+07          1.73465E+06
2018 27914231.716594         -6.31627E+07         -1.16342E+07          1.73475E+06
2018 27914259.678674         -6.31635E+07         -1.16354E+07          1.73484E+06
2018 27914287.640733         -6.31642E+07         -1.16366E+07          1.73493E+06
2018 27914315.602793         -6.31650E+07         -1.16378E+07          1.73503E+06
2018 27914343.564853         -6.31657E+07         -1.16390E+07          1.73512E+06
2018 27914371.526912         -6.31665E+07         -1.16402E+07          1.73521E+06
2018 27914399.488992         -6.31672E+07         -1.16413E+07          1.73531E+06
2018 27914427.451052         -6.31680E+07         -1.16425E+07          1.73540E+06
2018 27914455.413111         -6.31687E+07         -1.16437E+07          1.73550E+06
2018 27914483.375191         -6.31695E+07         -1.16449E+07          1.73559E+06
2018 27914511.337230         -6.31702E+07         -1.16461E+07          1.73568E+06
2018 27914539.299310         -6.31710E+07         -1.16473E+07          1.73578E+06
2018 27914567.261370         -6.31717E+07         -1.16484E+07          1.73587E+06
2018 27914595.223429         -6.31725E+07         -1.16496E+07          1.73596E+06
2018 27914623.185509         -6.31732E+07         -1.16508E+07          1.73606E+06
2018 27914651.147568         -6.31740E+07         -1.16520E+07          1.73615E+06
2018 27914679.109628         -6.31747E+07         -1.16532E+07          1.73624E+06
2018 27914707.071688         -6.31755E+07         -1.16544E+07          1.73634E+06
2018 27914735.033747         -6.31762E+07         -1.16555E+07          1.73643E+06
2018 27914762.995807         -6.31770E+07         -1.16567E+07          1.73652E+06
2018 27914790.957886         -6.31777E+07         -1.16579E+07          1.73662E+06
2018 27914818.919946         -6.31785E+07         -1.16591E+07          1.73671E+06
2018 27914846.882006         -6.31793E+07         -1.16603E+07          1.73681E+06
2018 27914874.844065         -6.31800E+07         -1.16615E+07          1.73690E+06
2018 27914902.806125         -6.31808E+07         -1.16626E+07          1.73699E+06
2018 27914930.768205         -6.31815E+07         -1.16638E+07          1.73709E+06
2018 27914958.730264         -6.31823E+07         -1.16650E+07          1.73718E+06
2018 27914986.692324         -6.31830E+07         -1.16662E+07          1.73727E+06
2018 27915014.654403         -6.31838E+07         -1.16674E+07          1.73737E+06
2018 27915042.616463         -6.31845E+07         -1.16686E+07          1.73746E+06
2018 27915070.578523         -6.31853E+07         -1.16697E+07          1.73755E+06
2018 27915098.540582         -6.31860E+07         -1.16709E+07          1.73765E+06
2018 27915126.502642         -6.31868E+07         -1.16721E+07          1.73774E+06
2018 27915154.464721         -6.31875E+07         -1.16733E+07          1.73783E+06
2018 27915182.426781         -6.31883E+07         -1.16745E+07          1.73793E+06
2018 27915210.388841         -6.31890E+07         -1.16756E+07          1.73802E+06
2018 27915238.350920         -6.31898E+07         -1.16768E+07          1.73812E+06
2018 27915266.312960         -6.31905E+07         -1.16780E+07          1.73821E+06
2018 27915294.275020         -6.31913E+07         -1.16792E+07          1.73830E+06
2018 27915322.237099         -6.31920E+07         -1.16804E+07          1.73840E+06
2018 27915350.199159         -6.31928E+07         -1.16816E+07          1.73849E+06
2018 27915378.161218         -6.31935E+07         -1.16827E+07          1.73858E+06
2018 27915406.123298         -6.31943E+07         -1.16839E+07          1.73868E+06
2018 27915434.085338         -6.31950E+07         -1.16851E+07          1.73877E+06
2018 27915462.047417         -6.31958E+07         -1.16863E+07          1.73886E+06
2018 27915490.009477         -6.31965E+07         -1.16875E+07          1.73896E+06
2018 27915517.971537         -6.31973E+07         -1.16887E+07          1.73905E+06
2018 27915545.933616         -6.31980E+07         -1.16898E+07          1.73914E+06
2018 27915573.895676         -6.31988E+07         -1.16910E+07          1.73924E+06
2018 27915601.857735         -6.31995E+07         -1.16922E+07          1.73933E+06
2018 27915629.819795         -6.32003E+07         -1.16934E+07          1.73942E+06
2018 27915657.781854         -6.32010E+07         -1.16946E+07          1.73952E+06
2018 27915685.743934         -6.32018E+07         -1.16958E+07          1.73961E+06
2018 27915713.705994         -6.32025E+07         -1.16969E+07          1.73971E+06
2018 27915741.668053         -6.32033E+07         -1.16981E+07          1.73980E+06
2018 27915769.630133         -6.32040E+07         -1.16993E+07          1.73989E+06
2018 27915797.592173         -6.32048E+07         -1.17005E+07          1.73999E+06
2018 27915825.554252         -6.32055E+07         -1.17017E+07          1.74008E+06
2018 27915853.516312         -6.32063E+07         -1.17029E+07          1.74017E+06
2018 27915881.478371         -6.32070E+07         -1.17040E+07          1.74027E+06
2018 27915909.440451         -6.32078E+07         -1.17052E+07          1.74036E+06
2018 27915937.402511         -6.32085E+07         -1.17064E+07          1.74045E+06
2018 27915965.364570         -6.32093E+07         -1.17076E+07          1.74055E+06
2018 27915993.326630         -6.32100E+07         -1.17088E+07          1.74064E+06
2018 27916021.288690         -6.32108E+07         -1.17100E+07          1.74073E+06
2018 27916049.250749         -6.32115E+07         -1.17111E+07          1.74083E+06
2018 27916077.212829         -6.32123E+07         -1.17123E+07          1.74092E+06
2018 27916105.174888         -6.32130E+07         -1.17135E+07          1.74102E+06
2018 27916133.136948         -6.32138E+07         -1.17147E+07          1.74111E+06
2018 27916161.099027         -6.32145E+07         -1.17159E+07          1.74120E+06
2018 27916189.061067         -6.32153E+07         -1.17170E+07          1.74130E+06
2018 27916217.023147         -6.32160E+07         -1.17182E+07          1.74139E+06
2018 27916244.985206         -6.32168E+07         -1.17194E+07          1.74148E+06
2018 27916272.947266         -6.32175E+07         -1.17206E+07          1.74158E+06
2018 27916300.909346         -6.32183E+07         -1.17218E+07          1.74167E+06
2018 27916328.871405         -6.32190E+07         -1.17230E+07          1.74176E+06
2018 27916356.833465         -6.32198E+07         -1.17241E+07          1.74186E+06
2018 27916384.795524         -6.32205E+07         -1.17253E+07          1.74195E+06
2018 27916412.757584         -6.32213E+07         -1.17265E+07          1.74204E+06
2018 27916440.719664         -6.32220E+07         -1.17277E+07          1.74214E+06
2018 27916468.681723         -6.32228E+07         -1.17289E+07          1.74223E+06
2018 27916496.643783         -6.32235E+07         -1.17301E+07          1.74232E+06
2018 27916524.605843         -6.32243E+07         -1.17312E+07          1.74242E+06
2018 27916552.567902         -6.32250E+07         -1.17324E+07          1.74251E+06
2018 27916580.529962         -6.32258E+07         -1.17336E+07          1.74261E+06
2018 27916608.492041         -6.32265E+07         -1.17348E+07          1.74270E+06
2018 27916636.454101         -6.32273E+07         -1.17360E+07          1.74279E+06
2018 27916664.416161         -6.32280E+07         -1.17372E+07          1.74289E+06
2018 27916692.378240         -6.32288E+07         -1.17383E+07          1.74298E+06
2018 27916720.340280         -6.32295E+07         -1.17395E+07          1.74307E+06
2018 27916748.302359         -6.32303E+07         -1.17407E+07          1.74317E+06
2018 27916776.264419         -6.32310E+07         -1.17419E+07          1.74326E+06
2018 27916804.226479         -6.32318E+07         -1.17431E+07          1.74335E+06
2018 27916832.188558         -6.32325E+07         -1.17443E+07          1.74345E+06
2018 27916860.150618         -6.32333E+07         -1.17454E+07          1.74354E+06
2018 27916888.112678         -6.32340E+07         -1.17466E+07          1.74363E+06
2018 27916916.074737         -6.32348E+07         -1.17478E+07          1.74373E+06
2018 27916944.036797         -6.32355E+07         -1.17490E+07          1.74382E+06
2018 27916971.998876         -6.32363E+07         -1.17502E+07          1.74391E+06
2018 27916999.960936         -6.32370E+07         -1.17514E+07          1.74401E+06
2018 27917027.922996         -6.32378E+07         -1.17525E+07          1.74410E+06
2018 27917055.885075         -6.32385E+07         -1.17537E+07          1.74419E+06
2018 27917083.847115         -6.32393E+07         -1.17549E+07          1.74429E+06
2018 27917111.809174         -6.32400E+07         -1.17561E+07          1.74438E+06
2018 27917139.771254         -6.32408E+07         -1.17573E+07          1.74448E+06
2018 27917167.733314         -6.32415E+07         -1.17584E+07          1.74457E+06
2018 27917195.695373         -6.32423E+07         -1.17596E+07          1.74466E+06
2018 27917223.657453         -6.32430E+07         -1.17608E+07          1.74476E+06
2018 27917251.619492         -6.32437E+07         -1.17620E+07          1.74485E+06
2018 27917279.581572         -6.32445E+07         -1.17632E+07          1.74494E+06
2018 27917307.543632         -6.32452E+07         -1.17644E+07          1.74504E+06
2018 27917335.505691         -6.32460E+07         -1.17655E+07          1.74513E+06
2018 27917363.467771         -6.32467E+07         -1.17667E+07          1.74522E+06
2018 27917391.429831         -6.32475E+07         -1.17679E+07          1.74532E+06
2018 27917419.391890         -6.32482E+07         -1.17691E+07          1.74541E+06
2018 27917447.353950         -6.32490E+07         -1.17703E+07          1.74550E+06
2018 27917475.316009         -6.32497E+07         -1.17715E+07          1.74560E+06
2018 27917503.278089         -6.32505E+07         -1.17726E+07          1.74569E+06
2018 27917531.240149         -6.32512E+07         -1.17738E+07          1.74578E+06
2018 27917559.202208         -6.32520E+07         -1.17750E+07          1.74588E+06
2018 27917587.164288         -6.32527E+07         -1.17762E+07          1.74597E+06
2018 27917615.126327         -6.32535E+07         -1.17774E+07          1.74606E+06
2018 27917643.088407         -6.32542E+07         -1.17786E+07          1.74616E+06
2018 27917671.050467         -6.32550E+07         -1.17797E+07          1.74625E+06
2018 27917699.012526         -6.32557E+07         -1.17809E+07          1.74635E+06
2018 27917726.974606         -6.32565E+07         -1.17821E+07          1.74644E+06
2018 27917754.936665         -6.32572E+07         -1.17833E+07          1.74653E+06
2018 27917782.898705         -6.32580E+07         -1.17845E+07          1.74663E+06
2018 27917810.860785         -6.32587E+07         -1.17856E+07          1.74672E+06
2018 27917838.822844         -6.32595E+07         -1.17868E+07          1.74681E+06
2018 27917866.784904         -6.32602E+07         -1.17880E+07          1.74691E+06
2018 27917894.746984         -6.32610E+07         -1.17892E+07          1.74700E+06
2018 27917922.709043         -6.32617E+07         -1.17904E+07          1.74709E+06
2018 27917950.671103         -6.32625E+07         -1.17916E+07          1.74719E+06
2018 27917978.633163         -6.32632E+07         -1.17927E+07          1.74728E+06
2018 27918006.595222         -6.32640E+07         -1.17939E+07          1.74737E+06
2018 27918034.557302         -6.32647E+07         -1.17951E+07          1.74747E+06
2018 27918062.519361         -6.32655E+07         -1.17963E+07          1.74756E+06
2018 27918090.481421         -6.32662E+07         -1.17975E+07          1.74765E+06
2018 27918118.443501         -6.32670E+07         -1.17987E+07          1.74775E+06
2018 27918146.405540         -6.32677E+07         -1.17998E+07          1.74784E+06
2018 27918174.367620         -6.32685E+07         -1.18010E+07          1.74793E+06
2018 27918202.329679         -6.32692E+07         -1.18022E+07          1.74803E+06
2018 27918230.291739         -6.32699E+07         -1.18034E+07          1.74812E+06
2018 27918258.253819         -6.32707E+07         -1.18046E+07          1.74822E+06
2018 27918286.215878         -6.32714E+07         -1.18058E+07          1.74831E+06
2018 27918314.177918         -6.32722E+07         -1.18069E+07          1.74840E+06
2018 27918342.139997         -6.32729E+07         -1.18081E+07          1.74850E+06
2018 27918370.102057         -6.32737E+07         -1.18093E+07          1.74859E+06
2018 27918398.064117         -6.32744E+07         -1.18105E+07          1.74868E+06
2018 27918426.026196         -6.32752E+07         -1.18117E+07          1.74878E+06
2018 27918453.988256         -6.32759E+07         -1.18128E+07          1.74887E+06
2018 27918481.950315         -6.32767E+07         -1.18140E+07          1.74896E+06
2018 27918509.912375         -6.32774E+07         -1.18152E+07          1.74906E+06
